epoch,train/box_loss,train/cls_loss,val/metrics/mAP50
1,2.6184,4.1853,0.1614
2,2.3886,3.8569,0.1778
3,2.2157,3.6786,0.1932
4,2.0603,3.3274,0.2102
5,1.9761,3.1340,0.2167
6,1.8136,2.8774,0.2317
7,1.7034,2.7521,0.2432
8,1.5209,2.5177,0.2669
9,1.4911,2.3668,0.2763
10,1.3791,2.1512,0.2960
11,1.2417,1.9843,0.2981
12,1.2289,1.8827,0.3154
13,1.1458,1.7525,0.3306
14,1.0686,1.6137,0.3486
15,0.9761,1.4558,0.3576
16,0.9347,1.4595,0.3734
17,0.7898,1.3310,0.3831
18,0.8054,1.1654,0.4066
19,0.7382,1.1316,0.4191
20,0.6574,1.0910,0.4356
21,0.6249,0.9419,0.4494
22,0.5191,0.9478,0.4613
23,0.5195,0.8625,0.4735
24,0.4828,0.7295,0.4913
25,0.4986,0.7805,0.5025
26,0.4000,0.6938,0.5196
27,0.4000,0.6261,0.5234
28,0.4000,0.5495,0.5441
29,0.4000,0.5127,0.5576
30,0.4000,0.5255,0.5694
31,0.4000,0.5000,0.5861
32,0.4000,0.5000,0.5991
33,0.4000,0.5000,0.6100
34,0.4000,0.5000,0.6256
35,0.4000,0.5000,0.6388
36,0.4000,0.5000,0.6584
37,0.4000,0.5000,0.6650
38,0.4000,0.5000,0.6820
39,0.4000,0.5000,0.6909
40,0.4000,0.5000,0.7157
41,0.4000,0.5000,0.7235
42,0.4000,0.5000,0.7414
43,0.4000,0.5000,0.7578
44,0.4000,0.5000,0.7694
45,0.4000,0.5000,0.7802
46,0.4000,0.5000,0.7900
47,0.4000,0.5000,0.7900
48,0.4000,0.5000,0.7900
49,0.4000,0.5000,0.7900
50,0.4000,0.5000,0.7900
